id,vin,Code,是否一致
87	,LFNCRULX7MFA16911	,000902010	,一致,000902010	
88	,LFNAHULX7MFA07023	,000902013	,一致,000902013	
89	,LFWSRXSJ2KFA26538	,000905003	,一致,000905003	
91	,LZFF25T40JD027710	,000826001	,不一致,
93	,LZFF25T43KD011955	,1497023628536057856	,不一致,000801004
95	,LFNCRXMX4JAD29911	,000702003	,一致,000702003	
96	,LFNFVXPX6LAD07834	,000702012	,一致,000702012	
97	,LFNFVXSX8MAD10438	,000701070	,一致,000701070	
100	,LZFF25X41KD051333	,CQ5256ZLJHXVG424L	,不一致,000827001
101	,LFNAHULM6L1E68523	,CA5180CCYP62K1L4E5	,一致,CA5180CCYP62K1L4E5	
102	,LFWSRXSJ0MAD30158	,000701044	,一致,000701044	
188	,00001220121300572	,000905022	,一致,000905022	
189	,00001223265190876	,000101003	,不一致,
190	,00001220121300688	,000203001	,一致,000203001	
191	,00001221010500593	,000905022	,一致,000905022	
192	,00001221010500575	,000603006	,不一致,000718003
193	,00001221010500775	,001107010	,一致,001107010	
194	,00001220121300590	,000901004	,不一致,000904005
195	,00001220121300575	,000701036	,一致,000701036	
196	,00001220121300719	,000203001	,一致,000203001	
197	,00001220121300703	,000203001	,一致,000203001	
198	,LWLDABUG7LL060542	,2203260009	,不一致,1483704553189806080
199	,LWLDAANG9LL003154	,000402006	,一致,000402006	
200	,LGAX2A129G1030310	,000102005	,一致,000102005	
201	,LEFYEDG40GHN75250	,000301001	,一致,000301001	
202	,LWLDAANG5LL003152	,000402006	,一致,000402006	
203	,LWLDAANG3LL002307	,000402006	,一致,000402006	
204	,LWLDAANG3LL003151	,000402006	,一致,000402006	
205	,LWLDAANG4LL002297	,000402006	,一致,000402006	
206	,LWLDAANG4LL003153	,000402006	,一致,000402006	
207	,LZZ1BBKG7KN509805	,000602003	,一致,000602003	
208	,LZZ1BXND2LW615654	,000601001	,一致,000601001	
209	,LGAX3B130L1005088	,000102004	,一致,000102004	
210	,LGAX2B136H8048402	,000102004	,一致,000102004	
211	,LGAX2B131G1010695	,000102004	,一致,000102004	
212	,LGAX3C136J1047509	,000102006	,一致,000102006	
213	,LGAX2B123J1015931	,000102002	,不一致,000102004
214	,LZZ1BXNDXLW634663	,000604001	,一致,000604001	
215	,LWLDAANG5LL002311	,000402006	,不一致,CL5080ZZZ6ZH-4KH1CN6LB
216	,LZZ1BXND8LW634659	,000604001	,一致,000604001	
217	,LWLDABUG6ML040350	,1483704553189806080	,一致,1483704553189806080	
218	,LZZ1BXND3LN752592	,000604001	,不一致,
219	,LWLDABUG3LL048467	,1483704553189806080	,一致,1483704553189806080	
220	,LWLDABUG9LL068206	,1483704553189806080	,一致,1483704553189806080	
221	,LWLDABUG0ML040375	,1483704553189806080	,一致,1483704553189806080	
222	,LWLDABUGXLL068215	,1483704553189806080	,一致,1483704553189806080	
223	,LWLDABUG2LL068211	,1483704553189806080	,一致,1483704553189806080	
224	,LWLDABUG7ML043483	,1483704553189806080	,一致,1483704553189806080	
225	,LWLDABUG0ML043485	,1483704553189806080	,一致,1483704553189806080	
226	,LWLDABUG8ML040348	,1483704553189806080	,一致,1483704553189806080	
227	,LWLDABUG9LL052085	,2203260011	,一致,2203260011	
228	,LWLDABUG3ML040399	,1483704553189806080	,一致,1483704553189806080	
229	,LWLDABUG4LL068209	,1483704553189806080	,一致,1483704553189806080	
230	,LWLDABUGXML040383	,1483704553189806080	,一致,1483704553189806080	
231	,LWLDABUG6ML050036	,1483704553189806080	,一致,1483704553189806080	
232	,LWLDABUGXML050041	,1483704553189806080	,一致,1483704553189806080	
233	,LWLDABUG8ML050040	,1483704553189806080	,一致,1483704553189806080	
234	,LWLDABUG8ML050037	,1483704553189806080	,一致,1483704553189806080	
235	,LWLDABUG4ML050035	,1483704553189806080	,一致,1483704553189806080	
236	,LEFYEDG46KHN47218	,000302001	,不一致,
237	,LEFYEDG42LHN64230	,000302001	,一致,000302001	
238	,LGAX2B139J8028005	,000102004	,一致,000102004	
239	,LGAX2A124LT009248	,000101002	,一致,000101002	
240	,LGAX3C134L8038446	,000101003	,不一致,
241	,LWU2DM2C7MKM29252	,001301001	,一致,001301001	
242	,LGAX3B131K1039846	,000102001	,一致,000102001	
243	,LGAX2B139H8046966	,000102004	,一致,000102004	
244	,LJ11KBBC6K1701751	,000201001	,一致,000201001	
245	,LGAX2B128J1015925	,000102003	,一致,000102003	
246	,LJ11KEBD8J1323473	,000202002	,不一致,
247	,LJ11KEBDXJ1323488	,000202002	,一致,000202002	
248	,LSFGL2169LDN01754	,000501001	,不一致,
249	,LGAX3B137J1034438	,000102002	,一致,000102002	
250	,LGAX3B137J1034455	,000102002	,一致,000102002	
251	,LGAX3B136J8029514	,000102002	,一致,000102002	
252	,LGAX3B134J1035272	,000102003	,不一致,000102004
253	,LGAX3B135J8031562	,000104001	,一致,000104001	
254	,LWLDABUG3KI055539	,2203250002	,不一致,
255	,LWLDAAJK1LL002977	,1484371026900029440	,不一致,
256	,LEFYEDG47HHN50802	,000301002	,一致,000301002	
257	,LWLDAANG7KL004348	,000402005	,不一致,
258	,LZZ1EXSDXKW353862	,000602002	,不一致,
259	,LGAX2AJ26H1018620	,000102005	,一致,000102005	
260	,LWLDAA5G4HL041415	,000401001	,一致,000401001	
261	,LWLDAA5G6HL041495	,000402004	,不一致,000401001
262	,LEFYEDG4XJHN34678	,000301002	,一致,000301002	
263	,LEFYEDG4XKHN69223	,1483703271158845440	,一致,1483703271158845440	
264	,LEFYEDG41HHN68065	,2203260002	,不一致,000301002
265	,LWLDAANG5KL004350	,000402005	,不一致,
266	,LGAX3B130J8004981	,000102002	,一致,000102002	
267	,LEFYEDG47HHN46958	,2203260002	,不一致,000301002
268	,LZZ1BBKGXJW402949	,2203260004	,一致,2203260004	
269	,LEFYEDG4XKHN61526	,2203260002	,不一致,
270	,LGAX2B139J8021703	,000102006	,不一致,
271	,LWLDAANG6LL000679	,000402006	,不一致,
272	,LGAX3C135L8001874	,000101001	,一致,000101001	
273	,LGAX2B13XJ8035982	,2203250007	,不一致,000102004
274	,LGAX2B131J1029285	,000102004	,一致,000102004	
275	,LGAX2B133J8014066	,000102003	,一致,000102003	
276	,LGAX2B12XJ1007082	,000102002	,一致,000102002	
277	,LGAX2B136H1037053	,000102003	,一致,000102003	
278	,LZZ1ELNF1JN435389	,2203260001	,不一致,
279	,LZZ1ELNF8JN435390	,2203260001	,不一致,
280	,LWLDAANG6LL000678	,000402006	,不一致,
281	,LGAX2A129KDJ00136	,000101002	,不一致,
282	,LWLDAA5G5JL061579	,000402004	,不一致,
283	,LFWSRXRJ1J1F14963	,000905008	,一致,000905008	
284	,LFWSRXSJ5MAD20502	,000701030	,一致,000701030	
285	,LFWSRXSJ0MAD20262	,000701030	,一致,000701030	
286	,LFWSRXSJ7MAD20310	,000701030	,一致,000701030	
287	,LFWSRXSJ0MAD20309	,000701030	,一致,000701030	
288	,LFWSRXSJ9MAD20499	,000701030	,一致,000701030	
289	,LWLDABUG8LL040171	,1486519090725130240	,不一致,
290	,LGAX2B139G1013795	,1486530817315442688	,一致,1486530817315442688	
291	,LZZ1ELNF6FN085913	,1486518807802548224	,一致,1486518807802548224	
292	,LWLDAA5G3KL049657	,1486518513920249856	,不一致,
293	,LGAX2A126MT012590	,1486518048365088768	,一致,1486518048365088768	
294	,00001221010500736	,000603006	,一致,000603006	
295	,00001221010500876	,000905023	,一致,000905023	
296	,00001221010500716	,001106015	,一致,001106015	
297	,00001321102800620	,1491248119357247488	,一致,1491248119357247488	
298	,00001221010500843	,1491594171323125760	,一致,1491594171323125760	
299	,LZFF25W42KD037281	,000819002	,不一致,000819010
300	,10001221010500716	,000808004	,一致,000808004	
301	,20001221010500716	,000821001	,一致,000821001	
302	,LZFF25W45KD037422	,000819002	,一致,000819002	
303	,LZFF25W42KD037426	,000819002	,一致,000819002	
304	,LZFF25W45KD037419	,000819002	,一致,000819002	
305	,LZFF25W47KD037423	,000819002	,一致,000819002	
306	,LZFF25W43KD037418	,000819002	,一致,000819002	
307	,LZFF25W42KD037278	,000819002	,一致,000819002	
308	,LZFF25W40KD037425	,000819002	,一致,000819002	
309	,LZFF25W44KD037279	,000819002	,一致,000819002	
310	,LZFF25W4XKD037416	,000819002	,一致,000819002	
311	,LFWSRXSJ0LFA04510	,000905002	,一致,000905002	
312	,00001220121300796	,1484089337892179968	,一致,1484089337892179968	
313	,00001220121300576	,000901004	,一致,000901004	
314	,LZZPCLXCXKJ135278	,1493820623397457920	,一致,1493820623397457920	
315	,00001220121300714	,1493812313118085120	,一致,1493812313118085120	
316	,00001321102800395	,000719001	,不一致,000905006
317	,LFWSRXSJ5JAB01020	,000701040	,一致,000701040	
318	,LZGJL4Z48KX025224	,001107016	,不一致,
319	,LFWSRXSJ0KFA10760	,000905003	,一致,000905003	
320	,00001220121300778	,1493812313118085120	,一致,1493812313118085120	
321	,LFWSRXRJ0J1F25954	,CA4250P66K24T1E5	,不一致,1494512445870444545
322	,LZFF25T44HD014582	,CQ5256ZLJHTVG424L	,不一致,1494550356359778305
323	,LZFF25W47HD044610	,CQ3256HXVG424L	,不一致,1494550630172332033
324	,LZFF25T4XHD014568	,CQ5256ZLJHTVG424L	,不一致,1494550356359778305
325	,LZFF25T4XHD014585	,CQ5256ZLJHTVG424L	,不一致,1494550356359778305
326	,LZFF25T42HD014595	,CQ5256ZLJHTVG424L	,不一致,1494550356359778305
327	,LZFF25W42JD031639	,CQ5256ZLJHXVG424L	,不一致,1494551827239276545
328	,LZFF31X69KD051300	,CQ5316ZLJHXVG426L	,不一致,
329	,LZFF25X44LD021289	,CQ5256ZLJHXVG424L	,一致,CQ5256ZLJHXVG424L	
330	,LZFH25W42LD063521	,1494506419297325056	,一致,1494506419297325056	
331	,LZFH25X41KD051275	,1494577262694109184	,不一致,
332	,LFWSRXSJ4HFA00791	,1494588812645502976	,一致,1494588812645502976	
333	,LFWSRXSJ1KAD42154	,000701034	,不一致,
334	,LFWSRXSJ6KAD11191	,000701033	,一致,000701033	
335	,LFNFVXRX8KAD10569	,000702012	,一致,000702012	
336	,LFWSRXSJ3LAD32436	,000701059	,一致,000701059	
337	,10001221010500775	,001103019	,一致,001103019	
338	,LJ11R4DF2L3507710	,1497111464446660608	,一致,1497111464446660608	
339	,LFWSRXSJ7LAD25828	,000701059	,一致,000701059	
340	,00001321092600054	,001001001	,一致,001001001	
341	,LFWSRXSJ6LAD15999	,000905002	,一致,000905002	
342	,LFWSRXSJ1LFA19565	,000905002	,一致,000905002	
343	,50001221010500716	,1497054553193975808	,不一致,000801004
344	,LFWSRXSJ8L1E21547	,000905002	,一致,000905002	
345	,LFWSRXSJ3LFA15131	,000905002	,不一致,
346	,LFWSRXSJ5LFA15132	,000905002	,不一致,
347	,LFWSRXRJ9K1F15666	,000905007	,不一致,
348	,00001321102800408	,1494190518945583104	,不一致,000602004
349	,LFWSRXSJ9G1E58872	,000905002	,不一致,
350	,LZFH25W42LD072929	,1494506419297325056	,不一致,
351	,LFNFVUNS3LAC55068	,1501830745482727424	,一致,1501830745482727424	
352	,LFNFVUNS4MAC30309	,1501842085161078784	,不一致,
353	,LFNFVUNS2LAC54820	,1501830745482727424	,一致,1501830745482727424	
354	,LFNFVUNS6MAC01104	,1501830745482727424	,一致,1501830745482727424	
355	,LFNFVUNS8MAC30443	,1501842085161078784	,不一致,
356	,LZFH18U17HD042958	,1501437622671773696	,一致,1501437622671773696	
357	,LZFH25V48LD014437	,1497084296056410112	,不一致,1497084059455721472
358	,LZFH25W44LD077307	,1494506419297325056	,不一致,
359	,LZFH25W43LD072924	,1494506419297325056	,不一致,
360	,LZFH25W4XLD027463	,1494506419297325056	,不一致,
361	,LZFH25W41LD077328	,000822001	,不一致,
362	,LFWSRXRJ0K1F15667	,000905007	,不一致,
363	,LFWSRXSJ6K1F56525	,000905003	,不一致,
364	,LZFH18R12KD013626	,000801008	,一致,000801008	
365	,LFWSRXSJ7HAD47609	,000701040	,一致,000701040	
366	,LFNFVXSX0MAD09509	,000702007	,不一致,
367	,LZFH25W48LD037781	,1494506419297325056	,不一致,
368	,LFWSRXRJ8K1E19415	,000905007	,不一致,
369	,LZGJLGV42MX063638	,001109012	,一致,001109012	
370	,LZZ1CLWBXMA819863	,000602004	,不一致,
371	,00001221010500984	,1493812313118085120	,不一致,000202002
372	,22334455667788991	,1501437622671773696	,不一致,
373	,LFWSRXSJXK1F56527	,000905003	,不一致,
374	,LFWSRXSJ2J1E15482	,000905006	,一致,000905006	
375	,LFWSRXSJ3H1E31524	,000905006	,不一致,
376	,LFWSRXSJ3MFA12862	,000905002	,不一致,
377	,LZFF25T48JD000156	,1497023628536057856	,不一致,
378	,LFWSRXSJ3M1F08161	,000905006	,不一致,
379	,LFWSRXSJ2K1F59857	,000905003	,不一致,
380	,LFWSRXSJ3KAD57951	,000701059	,不一致,
381	,12101202208888886	,000905007	,不一致,
382	,CAR22334455667777	,000905007	,不一致,
383	,LB1WA5884A3448781	,000905007	,不一致,
384	,11223344556677889	,000905007	,不一致,
385	,CAR12394875069830	,000819003	,不一致,
386	,CAR12345697089070	,000905007	,不一致,
387	,13210926000951234	,000905022	,不一致,
388	,13211028001830000	,000905007	,不一致,
389	,12101202200000009	,000905002	,不一致,
390	,LB1WA5884A3448783	,000905007	,不一致,
391	,12101202206666668	,000905007	,不一致,
392	,LFWSRXSJ7K1E46678	,000905002	,不一致,
393	,LFWSRXSJ0K1E63029	,000905003	,不一致,
394	,LB1WA5884A3448785	,000905007	,不一致,
395	,LFWSRXSJXL1E77487	,000905002	,不一致,
396	,LFWSRXSJ7MAC21258	,000905002	,不一致,
397	,LFWNHXSDXL1F35673	,000905002	,不一致,
398	,LFWSRXSJ5LAF09908	,000701057	,不一致,
399	,LFWSRXSJ6MAC27195	,000701044	,不一致,
400	,LZFH25W44LD049247	,000822001	,不一致,
401	,LZFH25W4XLD077330	,000822001	,不一致,
402	,LZFH25W4XLD077327	,000822001	,不一致,
403	,LFNFVXSX5LAD35716	,000702008	,不一致,
404	,LFNFVXSX1MAD06814	,000702008	,不一致,
405	,LFWSRXSJ8LAD42153	,000701057	,不一致,
406	,LFWSRXSJ8MAC27196	,000701044	,不一致,
407	,LFWSRXSJ5MAC02854	,000701034	,一致,000701034	
408	,LFWSRXSJ7MAC02855	,000701034	,一致,000701034	
409	,LFWSRXSJ6K1F52720	,000905002	,不一致,
410	,LFWSRXSJ5L1F20021	,000905002	,不一致,000905022
411	,LFWSRXSJ3MAD20501	,000701030	,不一致,
412	,LFWSRXSJ1LAF02034	,000701030	,不一致,
413	,LFWSRXSJ1MAD16012	,000701030	,不一致,
414	,LFWSRXSJ8MAD20316	,000701030	,不一致,
415	,LFWSRXSJ2LAF02284	,000701030	,不一致,
416	,LFWSRXSJ9L1F63809	,000905003	,一致,000905003	
417	,LFWSRXSJ9LFA23167	,000905002	,不一致,
418	,LFNMVXSX8MFA06813	,1494121909745487872	,不一致,
419	,LFWSRXSJ0LAF02283	,000701030	,不一致,
420	,LFWSRXSJ7LAF02037	,000701030	,不一致,
421	,LFWSRXSJ4LAF02030	,000701030	,不一致,
422	,LFWSRXSJ4MAC30824	,000701030	,不一致,
423	,LFWSRXSJ1MAD15720	,000701030	,不一致,
424	,LFWSRXSJ5MAC31691	,000701030	,不一致,
425	,LFWSRXSJ7MAC31692	,000701030	,不一致,
426	,LFWSRXSJ6LAF02286	,000701030	,不一致,
427	,LFWSRXSJ3MAC31690	,000701030	,不一致,
428	,LFWSRXSJ5MAD20497	,000701030	,不一致,
429	,00001220121300701	,000203001	,不一致,
430	,00001220121300710	,1493812313118085120	,不一致,
431	,LFNFVXRX2KAD38187	,2203230001	,不一致,
432	,00001220121300684	,1493812313118085120	,不一致,
433	,LFWSRXSJ3LAF02055	,1501828666697584640	,不一致,
434	,LFWSRXSJ8LAE11892	,000701057	,不一致,
435	,LZFF31X69JD024290	,000819003	,不一致,
436	,LFWSRXSJ9MFA18827	,000905002	,不一致,
437	,LZFF25X46LD013145	,000825001	,不一致,
438	,LZFF25W48KD038547	,000827001	,不一致,
439	,LZFF25X44LD029750	,000819003	,不一致,
440	,LZFF31X66KD034731	,000825001	,不一致,
441	,LZFF25X44LD025620	,000825001	,不一致,
442	,LZFF31X60LD015593	,000825001	,不一致,
443	,LZFF25X46LD046274	,000819003	,不一致,
444	,LZFF25X44LD030252	,000819003	,不一致,
445	,LZFF31X65KD033022	,000825001	,不一致,
446	,LZFF25X40LD022455	,000825001	,不一致,
447	,LZFF25W46KD041625	,000827001	,一致,000827001	
448	,LZFF31W66JD006024	,000819002	,不一致,
449	,LZFF25X40LD002349	,000827001	,不一致,
450	,LZFF31X69LD015592	,000825001	,不一致,
451	,LZFF25W49HD037450	,000827001	,不一致,
452	,LZFF25W42JD019202	,000819002	,不一致,
453	,LZFF25W49JD019200	,000827001	,一致,000827001	
454	,LFWSRXSJ7KFA19228	,000905003	,不一致,
455	,LZFF25T49KD011961	,1497023628536057856	,不一致,
456	,LZFF25T49HD026193	,1497023628536057856	,不一致,
457	,LZFF25T40JD027724	,000826001	,一致,000826001	
458	,LZFF31W60JD007606	,2204020004	,不一致,
459	,LZFF25T40JD048699	,000826001	,不一致,
460	,LZFF25T4XHD027028	,1497023628536057856	,不一致,
461	,LZFF25W40JD016024	,000819002	,一致,000819002	
462	,LZFF25W48JD024064	,000819002	,不一致,
463	,LZFF25W44JD000229	,000819002	,不一致,
464	,LZFF25T46KD000206	,1497023628536057856	,不一致,
465	,LZFF25W44KD038545	,000819002	,不一致,
466	,LZFF25X46LD029751	,2204090002	,不一致,
467	,LZFF25W45KD025982	,000819002	,不一致,
468	,LZFF31X66KD034342	,000827001	,不一致,
469	,LZFF25X45LD012407	,000827001	,不一致,
470	,LZFF25X43LD030257	,000819003	,不一致,
471	,LZFF25X48LD030254	,000819003	,不一致,
472	,LZFF25W4XKD038548	,000819002	,不一致,
473	,LZFF25X47LD035705	,000819003	,不一致,
474	,LZFF25W47KD036451	,000819002	,不一致,
475	,LZFF25X44LD016142	,000827001	,不一致,
476	,LZFF25W48KD036409	,000819002	,不一致,
477	,LZFF25X40LD028644	,000819003	,不一致,
478	,LZFF25X40LD012394	,000827001	,不一致,
479	,LZFF25X48KD011251	,000827001	,不一致,
480	,LFNFVXSX4MAD03552	,000702008	,不一致,
481	,LFWSRXSJ1LFA15368	,000905002	,不一致,
482	,LZFF25T42HD016220	,1497023628536057856	,不一致,
483	,LZFF25W44JD019203	,000819002	,不一致,
484	,LZFF25W40JD019201	,000827001	,一致,000827001	
485	,LZFF25T42JD027725	,000826001	,不一致,
486	,LFWSRXSJ3L1F60131	,000905002	,不一致,
487	,LZFF25W47JD048419	,000819002	,不一致,
488	,LZFF25W45HD044623	,000819002	,不一致,
489	,LZFF25W49JD027295	,000819002	,不一致,
490	,LZFF25W43KD036415	,000819002	,一致,000819002	
491	,LZFF25W46JD051912	,000819002	,不一致,
492	,LZFF25W41JD002004	,000819002	,不一致,
493	,LZFF25W40JD048424	,000819002	,不一致,
494	,LZFF25X43LD016150	,000819003	,不一致,
496	,LZFF25X4XLD027906	,000825001	,不一致,
497	,LZFF25X46LD016143	,000819003	,不一致,
498	,LZFF25W43JD003915	,000819002	,不一致,
499	,LZFF25T49JD001705	,000826001	,不一致,
500	,LFWSRXSJ6LFA21618	,000905002	,不一致,
501	,LFWSRXSJ2MFA18829	,000905002	,不一致,
502	,LFWSRXSJ3KFA23809	,000905002	,不一致,
503	,LFWSRXSJ4LFA21620	,000905002	,不一致,
504	,LFWSRXSJ8KFA23806	,000905002	,不一致,
505	,LFWSRXSJ0MFA18828	,000905002	,不一致,
506	,LFWSRXSJ3KFA17945	,000905002	,不一致,
507	,LFWSRXSJ8MFA18821	,000905002	,不一致,
508	,LFWSRXSJ3LFA21625	,000905002	,不一致,
509	,LFWSRXSJ8KFA23805	,000905002	,不一致,
510	,LFWSRUSH7MAP06489	,000714015	,不一致,
511	,LFWSRUSH4MAP05607	,000714015	,不一致,
512	,LZFF25W41KD024652	,000819002	,不一致,
513	,LZFF25X48LD070964	,000819003	,不一致,
514	,LZFF25X46LD065911	,000819003	,不一致,
515	,LZFF25T47JD017739	,000826001	,不一致,
516	,LFWSRXSJ9LAD18430	,000701028	,不一致,
517	,LFWSRXSJ5JAD43211	,000701031	,不一致,
518	,LFWSRXSJ2JAD43215	,000701031	,不一致,
519	,LFWSRXSJ1K1E12106	,000905003	,不一致,
520	,77771221010500839	,000905002	,不一致,
521	,LFWSRXSJ7K1E30674	,000905003	,不一致,
522	,LFWSRXSJXKAB06800	,000701059	,不一致,
523	,LFWSRXSJ5L1E43537	,000905003	,不一致,
524	,LFWSRXSJ2JAD36460	,000701059	,不一致,
525	,LZFF31W61KD045380	,000827001	,不一致,
526	,LFWSRUSH2MAP06819	,000714015	,不一致,
527	,LFWSRXSJ8K1F53707	,000905003	,不一致,
528	,LFWSRXSJ4K1F01278	,000905003	,不一致,
529	,LFWSRXSJ6K1E03269	,000905002	,不一致,
530	,LZFF25T40JD017727	,000826001	,不一致,
531	,LZFF31W69KD041318	,000827001	,不一致,
532	,LZFF25W42KD018326	,000819002	,不一致,
533	,LZFF25X41LD024781	,000827001	,不一致,
534	,LZFF25X45LD027912	,000827001	,不一致,
535	,LZFF25W41HD029990	,000819002	,不一致,
536	,LZFF25W48JD004915	,000819002	,不一致,
537	,LFWSRUSH6MAP05611	,000714015	,不一致,
538	,LFWSRUSH6MAP07035	,000714015	,不一致,
539	,LZZ7CLXC0KC281029	,000603008	,不一致,000603005
540	,LFWSRXSJ0L1F07743	,000905003	,不一致,
541	,LZFF25X43LD031022	,000819003	,不一致,
542	,LZFF25X48LD034692	,000819003	,不一致,
543	,LZEE25T48HD026279	,1497023628536057856	,不一致,
544	,LZFF25U46HD018213	,2204020005	,不一致,
545	,LZFF25T42JD002257	,000826001	,不一致,
546	,LZFF25T46JD002651	,1497023628536057856	,不一致,
547	,LZFF25X45LD027795	,000819003	,不一致,
548	,LFWSRXSJ0L1F00534	,000905002	,不一致,
549	,LFWSRXRHXJAD30294	,000713007	,不一致,
550	,LZFF31T63JD014151	,000826001	,不一致,
551	,LFWSRXSJ2LFA17341	,000905002	,不一致,
552	,LFWSRXSJ5KAC50495	,000701031	,不一致,
553	,LFWSRXPJ2H1F38184	,000905004	,不一致,
554	,LZZ7CLXC4LC313532	,000603008	,不一致,
555	,LFWSRXRJ7J1F13638	,000905008	,不一致,
556	,LFWSRXPJ7HFA07064	,000905004	,不一致,
557	,LFWSRXSJ5LFA41732	,000905002	,不一致,
558	,LFWSRXRJ6J1E20142	,000905008	,不一致,
559	,LZFH25X47KD010892	,000822002	,不一致,
560	,LFNFVXSX2M1F11803	,000905022	,不一致,
561	,LZFF25X43LD022451	,000819003	,不一致,
562	,LFNFVXSX5LAD06300	,000702007	,不一致,
563	,LFWSRXSJ2KAC50499	,000701055	,不一致,
564	,LZZ1BXNA3KW480060	,2204180026	,不一致,
565	,LFNVUUSS2L1E10225	,2204180001	,不一致,000902015
566	,LZZ1BXNA5JW401597	,2204180026	,不一致,
567	,LFNKRXPLXJ1F20169	,2204130001	,不一致,
568	,LFWSRXSJ1H1F45537	,000905001	,不一致,
569	,LGAG4DY3XH8010960	,1496798364413595648	,不一致,
570	,LGAG4DY39J8007862	,1496798364413595648	,不一致,
571	,LGAG4DY37H8036173	,1496798528012423168	,一致,1496798528012423168	
572	,LGAG4DY3XL8044079	,1496799335411748864	,不一致,
573	,LGAG4DY32H8032483	,1496798528012423168	,不一致,
574	,LGAG4DY37M8001790	,1496798528012423168	,不一致,
575	,LGAG4DY35H8023440	,1496798528012423168	,不一致,
576	,LGAG4DY38K3000691	,1496798528012423168	,不一致,
577	,LGAG4DY37M8025328	,1496799335411748864	,不一致,
578	,LZGCR2V64LX110629	,001107005	,一致,001107005	
579	,LZGJLGX47KX149327	,001109021	,不一致,
580	,LZGJLGT40GG007608	,001109015	,不一致,
581	,LGAG4DY34L8044076	,1496799335411748864	,一致,1496799335411748864	
582	,LFNDRXPP9K1F08074	,2204150001	,不一致,
583	,LFWSRXSJ0LAD27646	,000701057	,不一致,
584	,LFWSRXSJ1H1E56633	,000905001	,不一致,
