id,vin,Code,是否一致
95	,LFWSRXSJ9L1F63809	,None	,不一致,000905003
96	,LFNA4LCA3EAC14895	,None	,不一致,2204020003
97	,LFNA4LCAXEAC14893	,None	,不一致,2204020003
98	,LZZ1CLWB7MD790577	,None	,不一致,000602017
99	,00001321102800408	,None	,不一致,000602004
100	,00001221010500839	,None	,不一致,000905022
101	,LEFYEDG41HHN68065	,None	,不一致,000301002
102	,LWLDAA5G6HL041495	,None	,不一致,000401001
103	,LFWSRXSJ5MAC02854	,None	,不一致,000701034
104	,LFNFVUNS5MAC13535	,None	,不一致,1501830745482727424
105	,LFNFVUNS4MAC13526	,None	,不一致,1501830745482727424
106	,LFNFVUNS7LAC45305	,None	,不一致,1501830745482727424
107	,LFNFVUNS6MAC11941	,None	,不一致,1501830745482727424
108	,LFNFVUNS6MAC01104	,None	,不一致,1501830745482727424
109	,LFNFVUNS3LAC55068	,None	,不一致,1501830745482727424
110	,LFNFVUNS2LAC54820	,None	,不一致,1501830745482727424
111	,LFNA4MCA8HAM20821	,None	,不一致,2204080005
112	,LZ5R4DD35HB012685	,None	,不一致,1498839462392762368
113	,LZ5R4CD36KB013202	,None	,不一致,1498847666841456640
114	,LZ5R4CD31HB900635	,None	,不一致,1498846239020683264
115	,LZFH25V48LD014437	,None	,不一致,1497084059455721472
116	,12345678901234567	,None	,不一致,001109012
117	,LZGJLGV42MX063638	,None	,不一致,001109012
118	,LFWNHUPB4F1F03649	,None	,不一致,2204020002
119	,LGGG4DY35KL654599	,None	,不一致,2203290010
120	,12345678901234560	,None	,不一致,2203290010
121	,LFWRMUPH9G1E26117	,2204080006	,一致,2204080006	
122	,LGGG4DY35JL526359	,None	,不一致,2204020001
123	,LZZ1BXNDXLW634663	,000604001	,一致,000604001	
124	,LZZ1BXND8LW634659	,None	,不一致,000604001
125	,LZZ1BBKGXJW402949	,None	,不一致,2203260004
126	,LFNFVUNS7K1E11384	,None	,不一致,000902015
127	,LFNVUUSS2L1E10225	,None	,不一致,000902015
128	,LFNVUUSS2L1E10224	,None	,不一致,2204180001
129	,LFNFVUNS7K1E11383	,None	,不一致,2204180001
130	,LRDV7PEC1KR013129	,None	,不一致,2204130003
131	,LGAX4D443K9016678	,None	,不一致,000103001
132	,LGAX4D44XK9013549	,None	,不一致,000103001
133	,LGAX4D446K9016299	,None	,不一致,000103001
134	,00001221010500553	,None	,不一致,1501830745482727424
135	,LFNFVUNS8MAC01105	,None	,不一致,1501830745482727424
136	,LFNFVUNSXLAC54760	,None	,不一致,1501830745482727424
137	,LFNFVUNSXMAC12705	,None	,不一致,1501830745482727424
138	,LZZ1BLSF5KD580343	,None	,不一致,2204260002
139	,LJ18R4CL0H3302884	,None	,不一致,2205060007
140	,LZZ1BLSF7KD580344	,None	,不一致,2205100001
141	,LZGCR2R6XLX050821	,None	,不一致,2204150004
142	,LZGCR2R67LX034110	,None	,不一致,2204150004
143	,LZGCR2R61LX034118	,None	,不一致,2204150004
144	,LZZ1BLSF1KD580341	,None	,不一致,2205100001
145	,LZGCR2R68KX005990	,None	,不一致,2204120001
146	,LGAX5D65XL8K48978	,None	,不一致,1496796962442317824
147	,LRDV6PDC6JH603464	,None	,不一致,001017019
148	,LRDV6PDC4JH603463	,None	,不一致,001017019
149	,LGAX3BG45K1005117	,None	,不一致,1496752851630821376
150	,LFNAHRLM7JAC35177	,None	,不一致,000718002
151	,LRDS6PEB0GT009080	,2204250004	,不一致,2205060006
152	,LFNAHRLM7JAC35178	,000718002	,一致,000718002	
153	,LFWSRXSJ6MAD25191	,000701057	,一致,000701057	
154	,LFWSRXSJ3MAD25195	,000701057	,一致,000701057	
155	,LVBV5PBC5FJ062510	,2204250002	,一致,2204250002	
156	,LVBV6PDCXLW138960	,2204250003	,一致,2204250003	
157	,LZZ1ELNF6FN085913	,1486518807802548224	,一致,1486518807802548224	
158	,LWLDAA5G4HL041415	,000401001	,一致,000401001	
159	,LGGG4DY34JL534937	,2203290011	,一致,2203290011	
160	,LFNFVXSX8MAD10438	,000701070	,一致,000701070	
161	,LRDV7PEC9MR021790	,1493502694449614848	,一致,1493502694449614848	
162	,LZ123456789021345	,2203290012	,一致,2203290012	
163	,LZGCR2T66KX000411	,001101001	,一致,001101001	
164	,LGAX2A129G1030310	,000102005	,一致,000102005	
165	,LJ11R4DF2L3507710	,1497111464446660608	,一致,1497111464446660608	
166	,LFWSRXSJ4JAD40252	,000701059	,一致,000701059	
167	,LGAG4DY38H8011704	,2204290001	,一致,2204290001	
168	,00001220121300716	,1493787664682455040	,一致,1493787664682455040	
169	,00001220121300690	,1493787664682455040	,一致,1493787664682455040	
170	,LFWSRXSJ1L1E21549	,000905002	,一致,000905002	
171	,LGGG3CV20LL759061	,2204180024	,一致,2204180024	
172	,LNXDBG0C4MR214633	,2204180024	,一致,2204180024	
173	,LZZ1BXND8LN752586	,000604001	,一致,000604001	
174	,LZZ1BXND1LN752591	,000604001	,一致,000604001	
175	,LZZ1BXND5LW634652	,000604001	,一致,000604001	
176	,LGHXHDHX9L6120019	,2205050033	,一致,2205050033	
177	,LGAX3C139K8046444	,2205060009	,一致,2205060009	
178	,LFWSRUSJ9NAC00671	,000707006	,不一致,
179	,LZGJLGU45LX098531	,001109018	,一致,001109018	
180	,LFWSRXSJ5JAB01020	,000701040	,一致,000701040	
181	,LZGJLGV49LB003707	,2205070001	,不一致,
182	,LNXDBG0CXMR212062	,2204180024	,不一致,
183	,LGAX3C136K1042912	,2205060009	,不一致,
