vin_,vehicle_model_code_
LEFYEDG47HHN50802,000301002
00001220121300796,1484089337892179968
00001220121300576,000901004
LZZPCLXCXKJ135278,1493820623397457920
00001220121300714,1493812313118085120
00001321102800395,000905006
LFWSRXSJ5JAB01020,000701040
LFWSRXSJ0KFA10760,000905003
00001220121300778,1493812313118085120
LFWSRXRJ0J1F25954,1494512445870444545
LZFH25W42LD063521,1494506419297325056
LZFF25X44LD021289,CQ5256ZLJHXVG424L
LZFF25W42JD031639,1494551827239276545
LZFF25T42HD014595,1494550356359778305
LZFF25T4XHD014585,1494550356359778305
LFWSRXSJ4HFA00791,1494588812645502976
LZFF25T4XHD014568,1494550356359778305
LZFF25W47HD044610,1494550630172332033
LZFF25T44HD014582,1494550356359778305
LFWSRXSJ6KAD11191,000701033
1321092600025,000702012
LFNFVXRX8KAD10569,000702012
LFWSRXSJ3LAD32436,000701059
LWLDABUG7LL060542,1483704553189806080
LGAX2A129G1030310,000102005
LEFYEDG47HHN46958,000301002
10001221010500775,001103019
LJ11R4DF2L3507710,1497111464446660608
LFWSRXSJ7LAD25828,000701059
00001321092600054,001001001
LFWSRXSJ6LAD15999,000905002
LFWSRXSJ1LFA19565,000905002
50001221010500716,000801004
LWLDAANG9LL003154,000402006
LFWSRXSJ8L1E21547,000905002
L8888888899999999,000701044
77771221010500575,000905022
LZFH18U17HD042958,1501437622671773696
LFWNHXPCXH1F18802,000905004
LFWSRXSJ2J1E15482,000905006
LFWSRXSJ7HAD47609,000701040
LZGCR2V64LX110629,001107005
LZGJLGU43LX098513,001109024
LZZ7CLXC0KC281029,000603005
LFWSRXSH9HAC01225,000713004
RBOX1221010500995,1494190518945583104
LZFH18R12KD013626,000801008
test1234,000905014
LZGJL4Y47GX043190,001107015
00001220121300708,1493787664682455040
LFNMVXSX8MFA06812,1494121909745487872
00001221010500991,000602023
00001220121300583,000701036
LFNKRXSP3MFA09891,1494121909745487872
LFNKRXSP3MFA02730,1494121909745487872
00001221010500681,000826001
LZGJDGR13LX104127,001103026
LFWSRXSJ7MAC02855,000701034
LGAG4DY34H3044261,1496798869546209280
LGAG4DY35K8009741,1496801068657545216
LGAG4DY3XL8039092,1496805496940793856
LGAG4DY36J8015935,1496805496940793856
77771220121300583,000701036
88881220121300583,000905003
LFWSRXSJ6LAD80237,000701010
00001221010500696,000826001
LGAX2B139J8021702,2203260010
00001221010500922,2203250006
LWLDABUG9LL052085,2203260011
LWLDAANG4LL002298,2203250001
LGAG4DY34L8044076,1496799335411748864
LGAG4DY37H8036173,1496798528012423168
LGAG4DY36J8015936,1496798105683759104
LGAG4DY3XL8039093,1496798105683759104
LFWSRXSJ6KAD11190,000701033
LZZ7CLXC0MC423155,000606009
00001221010500952,2203250007
00001221010500955,2203250003
LGAG4DY31M9044239,1496766801646850048
LGAG4DY38M9044240,1496766801646850048
22221221010500575,1486530817315442688
LFWSRXSJ7J1F21586,000905003
LFWSRXSJ6J1F14273,000905006
WXCS1234567890123,000905024
WXCS1234567890001,2203310001
00001221010500587,1496766801646850048
00001221010500563,1496766801646850048
LFWSRXPJ0G1F45844,000905004
RB1221010500995-2,1496766606905315328
RB1221010500995-3,1496766801646850048
LFWSRXSJ9L1F63809,000905003
LFNA4LCA3EAC14895,2204020003
LFNA4LCAXEAC14893,2204020003
LZZ1CLWB7MD790577,000602017
LZZ1CLWBXMW792652,000602017
00001321102800408,000602004
LFWSRXSJ5L1F20021,000905022
LFWSRXSJ5MAC02854,000701034
LFNFVUNS5MAC13535,1501830745482727424
LFNFVUNS4MAC13526,1501830745482727424
LFNFVUNS7LAC45305,1501830745482727424
LFNFVUNS6MAC11941,1501830745482727424
LFNFVUNS2LAC54820,1501830745482727424
LFNFVUNS3LAC55068,1501830745482727424
LFNFVUNS6MAC01104,1501830745482727424
LFNA4MCA8HAM20821,2204080005
LZZ7CLWC5MC371281,000603007
LZ5R4DD35HB012685,1498839462392762368
LZ5R4CD36KB013202,1498847666841456640
LZ5R4CD31HB900635,1498846239020683264
LZFH25V48LD014437,1497084059455721472
12345678901234567,001109012
LZGJLGV42MX063638,001109012
LFWNHUPB4F1F03649,2204020002
LGGG4DY35KL654599,2203290010
12345678901234560,2203290010
LFWRMUPH9G1E26117,2204080006
LZZ1BXNDXLW634663,000604001
LZZ1BXND8LW634659,000604001
LZZ1BBKGXJW402949,2203260004
LFNFVUNS7K1E11384,000902015
LFNVUUSS2L1E10225,000902015
LFNVUUSS2L1E10224,2204180001
LFNFVUNS7K1E11383,2204180001
LRDV7PEC1KR013129,2204130003
LGAX4D443K9016678,000103001
LGAX4D44XK9013549,000103001
LGAX4D446K9016299,000103001
00001221010500553,1501830745482727424
LFNFVUNS8MAC01105,1501830745482727424
LFNFVUNSXMAC12705,1501830745482727424
LZZ1BLSF5KD580343,2204260002
LFNFVUNSXLAC54760,1501830745482727424
LZZ1BLSF7KD580344,2205100001
LJ18R4CL0H3302884,2205060007
LZGCR2R6XLX050821,2204150004
LZGCR2R67LX034110,2204150004
LZGCR2R61LX034118,2204150004
LZZ1BLSF1KD580341,2205100001
LZGCR2R68KX005990,2204120001
LGAX5D65XL8K48978,1496796962442317824
LRDV6PDC6JH603464,001017019
LRDV6PDC4JH603463,001017019
LGAX3BG45K1005117,1496752851630821376
LGGG4DY35JL526359,2204020001
LFNAHRLM7JAC35177,000718002
LRDS6PEB0GT009080,2205060006
LFNAHRLM7JAC35178,000718002
LFWSRXSJ6MAD25191,000701057
LFWSRXSJ3MAD25195,000701057
LVBV5PBC5FJ062510,2204250002
LVBV6PDCXLW138960,2204250003
LZZ1ELNF6FN085913,1486518807802548224
LWLDAA5G4HL041415,000401001
LZ123456789021345,2203290012
LFWSRXSJ4JAD40252,000701059
LGAG4DY38H8011704,2204290001
00001220121300716,1493787664682455040
00001220121300690,1493787664682455040
LFWSRXSJ1L1E21549,000905002
LNXDBG0C4MR214633,2204180024
LGGG3CV20LL759061,2204180024
LZZ1BXND8LN752586,000604001
LZZ1BXND1LN752591,000604001
LZZ1BXND5LW634652,000604001
LGHXHDHX9L6120019,2205050033
LGAX3C139K8046444,2205060009
LZZ1BXNAXKN515280,2204180026
LFWSRURH3JAC23389,000714016
LRDS6PEB4KR007645,1493393364031246336
LFWSRURH0JAC16867,000714016
LRDS6PEB5LT052453,001001001
LZGJLGU40LX005141,001109018
LFNMVXSS1LAD29486,2204090001
LFNMVXSS1J1F29233,2205060008
LZFF25W46KD041625,000827001
LZFF25T40JD027724,000826001
LZFF25W40JD019201,000827001
LFWSRXRJ5JAD22929,000701048
LZFH25W48LD048893,000822001
LZGJLGU45LX098531,001109018
LFWSRXSJ3JAD30280,000701040
LGAG4DY36L8044077,1496799335411748864
LFWSRXSJ9KFA06402,000905002
LFWSRXSJ1KFA23811,000905002
LZFF25W40JD016024,000819002
LZFF25W43KD036415,000819002
LZFF25W49JD019200,000827001
LFWSRXSJXLAE12106,000701055
LFWSRXSJ3LAF06862,000701057
LZZ1BLSF9KD580345,2205100001
LGAG4DY31K8033096,1496801068657545216
